,FENCE_ID,LATITUDE,LONGITUDE,ROAD
0,长乐路0_L_A17001,24.527352,118.10321675,长乐路
1,长乐路0_L_A17002,24.527317000000004,118.10319,长乐路
2,长乐路0_L_A17003,24.527399499999998,118.1032505,长乐路
3,长乐路0_L_A17004,24.527434,118.10327600000001,长乐路
4,长乐路0_L_A17005,24.5270205,118.10297,长乐路
5,长乐路0_L_A17006,24.5269695,118.10293325,长乐路
6,长乐路0_L_A17007,24.526522,118.10260075000001,长乐路
7,长乐路0_L_A17008,24.52661925,118.1026765,长乐路
8,长乐路0_L_A17009,24.526659749999997,118.102708,长乐路
9,长乐路0_L_A17010,24.526700249999998,118.102739,长乐路
10,长乐路0_L_A17011,24.526742750000004,118.10277224999999,长乐路
11,长乐路0_L_A17012,24.526031,118.10223450000001,长乐路
12,长乐路0_L_A17013,24.5260765,118.10226899999999,长乐路
13,长乐路0_L_A17014,24.526109500000004,118.1022935,长乐路
14,长乐路0_L_A17015,24.52584075,118.1020955,长乐路
15,长乐路0_L_A17016,24.525788000000002,118.1020575,长乐路
16,长乐路0_L_A17017,24.52574275,118.1020235,长乐路
17,长乐路0_L_A17018,24.52542625,118.10179025000001,长乐路
18,长乐路0_L_A17019,24.52598725,118.10220199999999,长乐路
19,长乐路0_R_A17001,24.52718725,118.1032845,长乐路
20,长乐路0_R_A17002,24.52543875,118.1019925,长乐路
21,长乐路0_R_A17003,24.526037,118.102435,长乐路
22,长乐路0_R_A17004,24.526083,118.10246850000001,长乐路
23,长乐路0_R_A17005,24.526125,118.10249925000001,长乐路
24,长乐路0_R_A17006,24.526163,118.10252725,长乐路
25,长乐路0_R_A17007,24.52632825,118.10265050000001,长乐路
26,长乐路0_R_A17008,24.526288750000003,118.10262125,长乐路
27,长乐路0_R_A17009,24.5263695,118.102682,长乐路
28,长乐路0_R_A17010,24.526498000000004,118.10277574999999,长乐路
29,长乐路0_R_A17011,24.526455249999998,118.102744,长乐路
30,长乐路0_R_A17012,24.52654475,118.10281,长乐路
31,长乐路0_R_A17013,24.5265895,118.102843,长乐路
32,长乐路0_R_A17014,24.526632,118.10287500000001,长乐路
33,长乐路0_R_A17015,24.526772,118.102978,长乐路
34,长乐路0_R_A17016,24.526857000000003,118.1030405,长乐路
35,长乐路0_R_A17017,24.526896500000003,118.10307,长乐路
36,长乐路0_R_A17018,24.52693925,118.10310150000001,长乐路
37,长乐路0_R_A17019,24.527025,118.10316474999999,长乐路
38,长乐路0_R_A17020,24.52706475,118.103194,长乐路
39,长浩路0_L_A17001,24.5212235,118.101761,长浩路
40,长浩路0_L_A17002,24.5217215,118.101808,长浩路
41,长浩路0_L_A17003,24.521773000000003,118.10180749999999,长浩路
42,长浩路0_L_A17004,24.52198575,118.10180749999999,长浩路
43,长浩路0_L_A17005,24.5232765,118.10181975,长浩路
44,长浩路0_L_A17006,24.523622250000003,118.10182475,长浩路
45,长浩路0_L_A17007,24.523531249999998,118.101829,长浩路
46,长浩路0_L_A17008,24.524052750000003,118.10179200000002,长浩路
47,长浩路0_L_A17009,24.5240965,118.1017865,长浩路
48,长浩路0_L_A17010,24.5241885,118.10176950000002,长浩路
49,长浩路0_L_A17011,24.524234250000003,118.10176075,长浩路
50,长浩路0_L_A17012,24.524300999999998,118.10174825,长浩路
51,长浩路0_L_A17013,24.524741999999996,118.10149675000001,长浩路
52,长浩路0_R_A17001,24.524507,118.1019185,长浩路
53,长浩路0_R_A17002,24.52418975,118.101999,长浩路
54,长浩路0_R_A17003,24.5241445,118.10200849999998,长浩路
55,长浩路0_R_A17004,24.523868999999998,118.10204399999999,长浩路
56,长浩路0_R_A17005,24.523985500000002,118.10202975,长浩路
57,长浩路0_R_A17006,24.52361975,118.1020485,长浩路
58,长浩路0_R_A17007,24.5233885,118.10205099999999,长浩路
59,长浩路0_R_A17008,24.523316,118.10204999999999,长浩路
60,长浩路0_R_A17009,24.52184925,118.10207399999999,长浩路
61,长浩路0_R_A17010,24.5216335,118.10207449999999,长浩路
62,长浩路0_R_A17011,24.5257675,118.10112225,长浩路
63,长浩路0_R_A17012,24.5262945,118.1004105,长浩路
64,长浩路0_R_A17013,24.52369125,118.10182175,长浩路
65,七星西路0_L_1,24.488527633325,118.09136186425,七星西路
66,七星西路0_L_2,24.490288152925,118.09104034,七星西路
67,七星西路0_L_3,24.4910570435,118.09089880375001,七星西路
68,七星西路0_R_1,24.488913707425,118.09160804425,七星西路
69,七星西路0_R_2,24.48966165385,118.091470192,七星西路
70,七星西路0_R_3,24.4915249418,118.0912884995,七星西路
71,七星西路_L_1,24.487757653350002,118.0915037114,七星西路
72,七星西路_L_2_A,24.4879076857,118.091476746025,七星西路
73,七星西路_L_2_B,24.488434577950002,118.091382408275,七星西路
74,七星西路_L_3_A,24.4881693499,118.09142515075,七星西路
75,七星西路_L_3_B,24.488624346625,118.091347198575,七星西路
76,七星西路_L_4_A,24.48896260355,118.09120539905,七星西路
77,七星西路_L_4_B,24.490267495825,118.0910455127,七星西路
78,七星西路_L_5_A,24.49148035565,118.09071416055,七星西路
79,七星西路_L_5_B,24.490430106025002,118.0910151068,七星西路
80,七星西路_L_6,24.4908718688,118.090930727625,七星西路
81,七星西路_L_7,24.491095062199996,118.09089341465,七星西路
82,七星西路_R_1_A,24.49136771615,118.0911769454,七星西路
83,七星西路_R_1_B,24.4884390896,118.091693570225,七星西路
84,七星西路_R_2_A,24.488732509849996,118.09163869665001,七星西路
85,七星西路_R_2_B,24.488812977749998,118.091625213425,七星西路
86,七星西路_R_3_A,24.48834825925,118.0917178088,七星西路
87,七星西路_R_3_B,24.48923361965,118.0915461777,七星西路
88,七星西路_R_4,24.4899307367,118.091410073575,七星西路
89,七星西路_R_5,24.49049596255,118.091299464375,七星西路
90,七星路0_R_1,24.489404797749998,118.0939204945,七星路
91,七星路_L_1_A,24.48783733345,118.094304526,七星路
92,七星路_L_1_B,24.491143521650002,118.09320337735,七星路
93,七星路_L_2_A,24.48694788525,118.0946029496,七星路
94,七星路_L_2_B,24.49133783365,118.0931486592,七星路
95,七星路_L_3,24.486884712400002,118.0947369174,七星路
96,七星路_R_1,24.488334488375,118.09427074465,七星路
97,七星路_R_10,24.490849029575003,118.093440029775,七星路
98,七星路_R_11,24.49110814905,118.0933721527,七星路
99,七星路_R_2,24.488905361500002,118.09408242585,七星路
100,七星路_R_3,24.4892535269,118.09397076245001,七星路
101,七星路_R_4,24.489471453500002,118.09390107050001,七星路
102,七星路_R_5,24.489649786825,118.093845198825,七星路
103,七星路_R_6,24.489779848924996,118.09380219015,七星路
104,七星路_R_7,24.49022265495,118.09365034414999,七星路
105,七星路_R_8,24.49043299985,118.09358180730001,七星路
106,七星路_R_9,24.4907174019,118.09348552624999,七星路
