FENCE_ID,LONGITUDE_0,LATITUDE_0,LONGITUDE_1,LATITUDE_1,LONGITUDE_2,LATITUDE_2,LONGITUDE_3,LATITUDE_3,LONGITUDE_4,LATITUDE_4,LATITUDE,LONGITUDE,ROAD,AREA,FID
长乐路0_L_A17001,118.103198,24.527338,118.103224,24.527373,118.103236,24.527366,118.103209,24.527331,118.103198,24.527338,24.527352,118.10321675,长乐路,3.432395139947815,0
长乐路0_L_A17002,118.103171,24.527303,118.103198,24.527338,118.103209,24.527331,118.103182,24.527296,118.103171,24.527303,24.527317000000004,118.10319,长乐路,3.350668466203378,1
长乐路0_L_A17003,118.103231,24.527386,118.103257,24.527421,118.10327,24.527413,118.103244,24.527378,118.103231,24.527386,24.527399499999998,118.1032505,长乐路,3.8702048558525552,2
长乐路0_L_A17004,118.103257,24.527421,118.103282,24.527455,118.103295,24.527447,118.10327,24.527413,118.103257,24.527421,24.527434,118.10327600000001,长乐路,3.7476222999731994,3
长乐路0_L_A17005,118.102948,24.527003,118.102979,24.527046,118.102992,24.527038,118.102961,24.526995,118.102948,24.527003,24.5270205,118.10297,长乐路,4.710749144577864,4
长乐路0_L_A17006,118.102916,24.526957,118.102937,24.52699,118.102951,24.526982,118.102929,24.526949,118.102916,24.526957,24.5269695,118.10293325,长乐路,3.604565227877976,5
长乐路0_L_A17007,118.102582,24.526509,118.102608,24.526542,118.102619,24.526535,118.102594,24.526502,118.102582,24.526509,24.526522,118.10260075000001,长乐路,3.257207273569554,6
长乐路0_L_A17008,118.102659,24.526608,118.102682,24.526638,118.102694,24.52663,118.102671,24.526601,118.102659,24.526608,24.52661925,118.1026765,长乐路,3.073340318395886,7
长乐路0_L_A17009,118.102691,24.526649,118.102714,24.526678,118.102725,24.526671,118.102702,24.526641,118.102691,24.526649,24.526659749999997,118.102708,长乐路,2.9011428526387935,8
长乐路0_L_A17010,118.102722,24.526689,118.102745,24.526719,118.102756,24.526711,118.102733,24.526682,118.102722,24.526689,24.526700249999998,118.102739,长乐路,2.9011457880156355,9
长乐路0_L_A17011,118.102754,24.52673,118.102779,24.526763,118.102791,24.526756,118.102765,24.526722,118.102754,24.52673,24.526742750000004,118.10277224999999,长乐路,3.365216068924043,10
长乐路0_L_A17012,118.102216,24.526019,118.10224,24.526051,118.102253,24.526043,118.102229,24.526011,118.102216,24.526019,24.526031,118.10223450000001,长乐路,3.5490292849499894,11
长乐路0_L_A17013,118.102249,24.526062,118.102276,24.526099,118.102289,24.526091,118.102262,24.526054,118.102249,24.526062,24.5260765,118.10226899999999,长乐路,4.068546382518644,12
长乐路0_L_A17014,118.102276,24.526099,118.102298,24.526128,118.102311,24.52612,118.102289,24.526091,118.102276,24.526099,24.526109500000004,118.1022935,长乐路,3.227988452797798,13
长乐路0_L_A17015,118.102073,24.525824,118.102105,24.525866,118.102118,24.525858,118.102086,24.525815,118.102073,24.525824,24.52584075,118.1020955,长乐路,4.812765377800114,14
长乐路0_L_A17016,118.102038,24.525773,118.102066,24.52581,118.102077,24.525803,118.102049,24.525766,118.102038,24.525773,24.525788000000002,118.1020575,长乐路,3.5198228259266373,15
长乐路0_L_A17017,118.102006,24.525731,118.10203,24.525762,118.102041,24.525755,118.102017,24.525723,118.102006,24.525731,24.52574275,118.1020235,长乐路,3.0732747214456,16
长乐路0_L_A17018,118.10177,24.525415,118.101798,24.525447,118.101811,24.525437,118.101782,24.525406,118.10177,24.525415,24.52542625,118.10179025000001,长乐路,3.878775895644621,17
长乐路0_L_A17019,118.102183,24.525975,118.102208,24.526008,118.102221,24.526,118.102196,24.525966,118.102183,24.525975,24.52598725,118.10220199999999,长乐路,3.782514032614675,18
长乐路0_R_A17001,118.103303,24.5272,118.103279,24.527166,118.103266,24.527175,118.10329,24.527208,118.103303,24.5272,24.52718725,118.1032845,长乐路,3.7330297922323297,19
长乐路0_R_A17002,118.102007,24.525446,118.10199,24.525424,118.101978,24.525431,118.101995,24.525454,118.102007,24.525446,24.52543875,118.1019925,长乐路,2.3202762864611444,20
长乐路0_R_A17003,118.102455,24.526051,118.102428,24.526015,118.102415,24.526023,118.102442,24.526059,118.102455,24.526051,24.526037,118.102435,长乐路,3.9926841092953795,21
长乐路0_R_A17004,118.102487,24.526096,118.102462,24.526062,118.10245,24.52607,118.102475,24.526104,118.102487,24.526096,24.526083,118.10246850000001,长乐路,3.5490564248024956,22
长乐路0_R_A17005,118.102515,24.526135,118.102496,24.526108,118.102483,24.526115,118.102503,24.526142,118.102515,24.526135,24.526125,118.10249925000001,长乐路,2.7668658189514446,23
长乐路0_R_A17006,118.102543,24.526173,118.102524,24.526146,118.102511,24.526153,118.102531,24.52618,118.102543,24.526173,24.526163,118.10252725,长乐路,2.7668683526791447,24
长乐路0_R_A17007,118.102666,24.526337,118.102648,24.526312,118.102635,24.526319,118.102653,24.526345,118.102666,24.526337,24.52632825,118.10265050000001,长乐路,2.7230997895705134,25
