BIKE_ID,BIKE_LATITUDE,BIKE_LONGITUDE,TIME,FENCE_LATITUDE,FENCE_LONGITUDE,FENCE_LATITUDE_0,FENCE_LONGITUDE_0,FENCE_LATITUDE_1,FENCE_LONGITUDE_1,FENCE_LATITUDE_2,FENCE_LONGITUDE_2,FENCE_LATITUDE_3,FENCE_LONGITUDE_3,DISTANCE,IS_INSIDE
b2e739539b53b42b39c5692dd4407c8e,24.482558,118.17037,2020-12-21 07:41:00,24.4825842957,118.170368826525,24.4825600161,118.1704070986,24.4825948454,118.1703237076,24.4826085753,118.1703305544,24.482573746,118.1704139455,2.9150775918816554,0
b327082d311169afae461fe59764786f,24.490205,118.114934,2020-12-21 07:41:00,24.490277283300003,118.11496845335,24.4902711271,118.1149196816,24.4902972869,118.1150125681,24.4902834395,118.1150172251,24.4902572797,118.1149243386,8.734977696910583,0
5ec35108875cf0e8e2bd6ef4d05de26c,24.514014,118.158536,2020-12-21 07:41:00,24.51409458575,118.15849274705,24.5141199434,118.1584855443,24.5140776254,118.1585145733,24.5140692281,118.1584999498,24.5141115461,118.1584709208,9.94435384149731,0
c8e8de228decfeea85756c50b78439a1,24.512263,118.139796,2020-12-21 07:41:00,24.511792000000003,118.14009,24.511795,118.140054,24.511804,118.140124,24.511789,118.140126,24.51178,118.140056,60.07948841726178,0
75acc77cf6a0a91df6602bba09236a88,24.53561,118.15773,2020-12-21 07:41:00,24.535588421375003,118.157765314,24.5355701241,118.157782935,24.5355641474,118.15776425,24.535606763,118.157747797,24.535612651,118.157766274,4.303105085218536,0
a2cbc05d6e86ca69eb9fc459451f9fb1,24.513968,118.098946,2020-12-21 07:41:00,24.51397148545,118.09891485805,24.513963469,118.0989464672,24.513963254,118.098883315,24.5139795019,118.0988832489,24.5139797169,118.0989464011,3.17956233725492,1
38bc48b18ef0bf9d4ec5eb8162c38998,24.510463,118.116094,2020-12-21 07:41:00,24.510243768475,118.1160885665,24.5102334342,118.116109716,24.5102233563,118.116098025,24.5102540331,118.116067071,24.5102642503,118.116079454,24.289564875390614,0
af9c959c9548b6e8de54cb5ff48732d3,24.518001,118.155331,2020-12-21 07:41:00,24.5180694438,118.155363059,24.5180280809,118.155377982,24.5180260642,118.155358428,24.5181108516,118.155348287,24.5181127785,118.155367539,8.24804183797505,0
459d051dc3b4c0a45c4baa3d11d5ed66,24.478478,118.113514,2020-12-22 08:05:00,24.47859740565,118.11342181275,24.4786068889,118.1134828334,24.4785748994,118.1133650136,24.4785879224,118.1133607921,24.4786199119,118.1134786119,16.19443165717037,0
6e3aeef699bc81e1a06613e330e81c62,24.496768,118.125232,2020-12-22 08:05:00,24.496905451150003,118.125342848925,24.4969285027,118.125317955,24.4968945851,118.1253762151,24.4968823996,118.1253677428,24.4969163172,118.1253094828,18.921648851068436,0
