BIKE_ID,BIKE_LATITUDE,BIKE_LONGITUDE,TIME,FENCE_LATITUDE,FENCE_LONGITUDE,FENCE_LATITUDE_0,FENCE_LONGITUDE_0,FENCE_LATITUDE_1,FENCE_LONGITUDE_1,FENCE_LATITUDE_2,FENCE_LONGITUDE_2,FENCE_LATITUDE_3,FENCE_LONGITUDE_3,DISTANCE,IS_INSIDE
0f5bd02edfd1cd528bef41500d70460c,24.485763,118.134921,2020-12-22 08:39:00,24.485685571575,118.13488169775,24.485681237,118.134909096,24.4856770263,118.13485559,24.4856897976,118.134854152,24.4856942254,118.134907953,9.456529386398952,0
f3ca697b1f3f897bd1d4a9909f7e98bb,24.504993,118.095797,2020-12-22 08:39:00,24.504935827,118.09561816775,24.504930632,118.095643476,24.5049254127,118.095594584,24.504941022,118.09559286,24.5049462413,118.095641751,19.199282471707523,0
ffd58b4788b13cefe8b12f2aed271a71,24.472115,118.088179,2020-12-22 08:38:00,24.47216045905,118.088313509,24.4721588958,118.088337693,24.4721475453,118.088294072,24.4721618153,118.088289301,24.4721735798,118.08833297,14.536097783837326,0
2375b1512885c4640023181fd0e7fd5d,24.489745,118.181645,2020-12-22 08:39:00,24.489822827775,118.18163499575,24.4898229298,118.181675856,24.4898100424,118.181596698,24.4898229017,118.181594199,24.4898354372,118.18167323,8.68005854044133,0
4f4e7bbbb9b048650e46ec90de237496,24.530358,118.154777,2020-12-22 08:38:00,24.530400223100003,118.15476608405,24.5304087412,118.1548168458,24.5303780652,118.1547205122,24.530391705,118.1547153223,24.530422381,118.1548116559,4.805904353649312,0
d33f84e09a65701ec733ad8e5232f701,24.488418,118.157747,2020-12-22 08:38:00,24.4883609582,118.15783772425,24.4883654161,118.157865577,24.4883426751,118.157817715,24.4883565003,118.157809872,24.4883792413,118.157857733,11.1575119888632,0
cc365fcaeb33196c125a362f09091f4e,24.535955,118.161908,2020-12-22 08:38:00,24.535925036,118.161675137075,24.5359466933,118.1616582017,24.5359146519,118.1617019411,24.5359033787,118.1616920724,24.5359354201,118.1616483331,23.827346580780596,0
3d522dc086963f3bf7aa2a68619f9aa4,24.473078,118.108824,2020-12-22 08:38:00,24.47312636355,118.1087352328,24.4731064881,118.1087378292,24.473138716,118.1087180229,24.473146239,118.1087326364,24.4731140111,118.1087524427,10.472700928915943,0
30ab6ad748fc84f8cc941becb0f1ebae,24.468094,118.098166,2020-12-22 08:38:00,24.46828093115,118.09810160705,24.4682827739,118.0981372453,24.4682647724,118.0980705836,24.4682790884,118.0980659688,24.4682970899,118.0981326305,21.71018384739851,0
9987d648576cd09af3822ccf2a46215c,24.465828,118.088686,2020-12-22 08:38:00,24.46585874015,118.08871395875,24.4658582782,118.088737202,24.4658471476,118.088694889,24.4658595096,118.088690692,24.4658700252,118.088733052,4.430356544427386,0
ed4c864ec8d86fbabfe3cd5db23b30a6,24.537624,118.146673,2020-12-22 08:38:00,24.537496974925,118.146691194,24.5374736909,118.146709798,24.5374684945,118.146693962,24.5375201185,118.146672663,24.5375255958,118.146688353,14.190322012311293,0
528d6c212b39f1d31df6fcdaf4d5c8f9,24.48513,118.095246,2020-12-22 08:38:00,24.485060282825,118.09521071705,24.4850212754,118.0952140063,24.4850951321,118.0951912869,24.4850992903,118.0952074278,24.4850254335,118.0952301472,8.510258592077388,0
05333c4399dee0c8a4eed77c7e38bad6,24.495565,118.162984,2020-12-22 08:38:00,24.4955885,118.163023625,24.495621,118.1630324,24.495555,118.163026,24.495556,118.1630149,24.495622,118.1630212,4.786063269218432,0
0adaf79b8a7d8a2f8af10193f58c2d33,24.520799,118.08801,2020-12-22 08:38:00,24.520420924725,118.09042222825,24.5203999418,118.0904107553,24.5204441761,118.0904188011,24.5204419076,118.0904337012,24.5203976734,118.0904256554,248.01218173460117,0
